SPECID,CATAID_1,SURVEY,IS_BEST,IS_SBEST,RA,DEC,Z,BPT,WHAN,HA_EW,HA_EW_ERR,HA,HA_er,HB,HB_er,OIII,OIII_er,NII,NII_er,LOIII,LOIII_er,BMS
1031417538174543872,463196,SDSS,true,true,211.95664,-1.28564,0.14727525,SFGX,wAGN,3.6250632,0.31122863,215.54816,18.105919,-168.00037,48.583496,-45.94417,19.85016,175.73677,13.619705,40.30602076643107,-1.0,0
1031419462319892480,491454,SDSS,true,true,211.71473,-1.54075,0.029513683,UNCX,LLR,-1.2027119,0.118885465,-824.3168,81.16218,-1059.89,108.70639,-615.4784,79.22523,186.13156,72.3266,39.48810571409283,-1.0,0
1031421386465241088,484660,SDSS,true,true,211.95245,-1.98741,0.05488402,UNCX,ELR,1.3230153,0.16676705,280.15866,34.872326,-268.4304,48.672916,-137.26141,36.138454,354.59476,31.291265,39.69153867568772,-1.0,1
1031429357924542464,460399,SDSS,true,true,212.1223,-1.78213,0.13890514,UNCX,NER,0.21237549,0.26997268,12.116571,15.270705,-89.54723,24.141363,22.102785,19.367527,94.17216,12.785138,40.43916788574139,-2.0,0
1031457395471050752,460542,SDSS,true,true,212.81014,-1.71992,0.18464574,NOEL,NER,-2.1726074,0.26685253,-90.80846,11.124581,-69.41246,18.270351,-14.610415,12.3492,-3.6696954,11.931777,39.91338790905867,-2.0,0
1031459319616399360,491709,SDSS,true,true,212.87409,-1.5442999601364136,0.18607576,AGNXY,sAGN,29.00473,0.5828601,955.22253,17.604773,55.455296,16.490623,145.08078,11.104251,777.4477,14.8128,41.078110360742244,39.961989748918604,0
1031466191564072960,460640,SDSS,true,true,213.1481,-1.62819,0.1963959,UNCX,ELR,1.8165516,0.50793684,64.042274,17.696209,-60.598278,23.250235,-49.058266,14.742574,48.62869,14.328605,40.434523906171776,-1.0,1
1031469215221049344,496989,SDSS,true,true,213.03659,-1.14478,0.1817957,SFGX,ELR,1.7242756,0.52880853,74.72253,22.696522,-13.546022,26.98612,-33.263756,20.278156,54.507298,15.981625,39.75851901827955,-2.0,0
1031470589610584064,463453,SDSS,true,true,213.16155,-1.34276,0.13956514,AGNXY,sAGN,13.59477,0.34295744,333.0119,8.047835,39.20959,11.149069,352.38065,9.822736,210.5996,6.2573414,41.206235690234415,39.651456109830896,1
1032550310398158848,511455,SDSS,true,true,214.23165,-1.17675,0.13770299,UNCX,UNC,2.831796,0.21087691,132.85721,9.720583,-61.53946,15.202199,-36.837566,13.1278925,138.63513,7.7206697,40.06646427578191,-1.0,0
