SPECID,CATAID_x,Z_x,BPT,WHAN,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84,CATAID_y,HA_REDCHI_EMB,HA_FITFAIL_x,HA_CEN_x,SIG_HA_N,SIG_HA_N_ERR,HA_N_FLUX,HA_N_FLUX_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,CATAID,Z_y,HA_REDCHI_EM,HA_FITFAIL_y,HA_CEN_y,SIG_HA,SIG_HA_ERR,VEL_B,VEL_B_ERR
531513574393145344,372775,0.14678027,AGNXY,sAGN,10.56,10.65,10.76,372775.0,1.4930477,0.0,7526.089338121121,2.3175461,0.09922829,309.4527,17.962004,22.820433,2.068904,369.41226,50.109505,372775.0,0.14678027,1.9220165,0.0,7526.089338121121,2.8389876,0.0895749,2.9585752142004518,1.9159916729095536
531566625829185536,747874,0.30772892,SFGXY,SFG,10.19,10.31,10.32,747874.0,1.1190778,0.0,8582.363005462652,9.634036,0.6072265,349.48132,38.16859,29.38658,1.9389641,594.73474,94.31671,747874.0,0.30772892,1.9488298,0.0,8582.363005462652,14.429362,-0.0,3.0113628691001333,1.8307835913009722
531567725340813312,601252,0.1434303,AGNXY,sAGN,10.81,10.91,10.96,601252.0,1.8059813,0.0,7504.1041452935715,4.4357057,0.23263566,389.0982,26.929422,30.312227,7.7710834,222.57416,108.93398,601252.0,0.1434303,1.8356917,0.0,7504.1041452935715,4.7371593,0.17114998,3.0831396947752228,2.492003420057715
532575427311462400,279905,0.017677007,AGNXY,NER,10.32,10.32,10.39,279905.0,2.3545194,0.0,6678.810459860701,1.661621,0.3133441,246.28683,60.752323,45.931217,5.2993646,3027.478,450.75812,279905.0,0.017677007,2.8969295,0.0,6678.810459860701,2.1460297,0.2549395,3.314229536971172,2.3763453845800897
532678231648659456,383051,0.08706953,AGNXY,wAGN,10.86,10.95,11.01,383051.0,1.3920227,0.0,7134.219698697355,3.553737,0.14286962,585.1332,30.98181,21.575111,4.3296895,350.83075,122.22469,383051.0,0.08706953,1.4946588,0.0,7134.219698697355,3.8399165,0.107819736,2.9574272623553055,2.2599309760073236
532697198224238592,388450,0.26593605,SFGX,sAGN,11.04,11.13,11.2,388450.0,1.8821142,0.0,8308.084757903642,2.4980204,0.1484568,297.87634,22.807098,36.184963,9.533279,263.0807,98.16957,388450.0,0.26593605,1.9538326,0.0,8308.084757903642,2.6446123,0.13742301,3.1158479173171765,2.5365620876589734
5336779946893770752,396833,0.01846365,AGNXY,sAGN,10.33,10.33,10.33,396833.0,3.9774616,0.0,6683.9730447651655,2.966101,0.015225332,20930.03,173.52051,17.212355,0.36929184,5546.0444,237.04291,396833.0,0.01846365,8.454721,0.0,6683.9730447651655,3.220363,0.011447141,2.8876263078377833,1.2191557245690487
533763725694363648,204906,0.054795332,AGNXY,ELR,10.19,10.3,10.33,204906.0,1.1506437,0.0,6922.410611472639,1.3525462,0.30610755,66.854416,20.349854,62.7256,20.803299,589.21216,238.42575,204906.0,0.054795332,1.2399361,0.0,6922.410611472639,1.6096661,0.30201587,3.434008170721993,2.954695557594769
533767573985060864,216821,0.20571466,AGNXY,sAGN,11.11,11.2,11.27,216821.0,1.3844461,0.0,7912.863874518859,2.6587446,0.6578587,96.19513,32.566544,23.355091,4.7723975,407.29437,177.6096,216821.0,0.20571466,1.4510005,0.0,7912.863874518859,5.6047306,0.5646998,2.9468685721283636,2.257223617861046
533784066659477504,210948,0.0693843,UNCXY,sAGN,10.64,10.66,10.7,210948.0,1.1178414,0.0,7018.155083133968,5.343391,0.17648397,1267.0999,56.588696,37.249203,2.3380225,1917.628,208.87215,210948.0,0.0693843,2.6708658,0.0,7018.155083133968,5.2563047,0.11527885,3.2017147269859296,1.9994464284404987
5396513115045625856,598998,0.078406624,AGNXY,sAGN,10.77,10.77,10.77,598998.0,3.0214252,0.0,7077.366783072942,2.545888,0.028881272,2589.192,44.637108,20.023464,0.33238038,2717.3726,81.70281,598998.0,0.078406624,8.78772,0.0,7077.366783072942,3.1018379,0.023938004,2.9284882108201655,1.1485843795236594
579866249102649344,230260,0.067377515,UNCX,ELR,11.03,11.09,11.14,230260.0,1.187844,0.0,7004.984948982402,1.3104547,0.4576234,71.40563,31.926626,33.302834,5.094946,853.67883,191.19334,230260.0,0.067377515,1.3733555,0.0,7004.984948982402,2.5942605,0.46401238,3.153894689048052,2.3385530818301055
583242028553365504,221054,0.23903047,AGNXY,sAGN,10.88,10.94,11.01,221054.0,1.2489983,0.0,8131.508919231437,3.4766958,0.15842836,432.7332,25.367912,24.122156,4.09183,251.62256,80.94796,221054.0,0.23903047,1.2859279,0.0,8131.508919231437,3.8231964,0.11729696,2.9490656819796404,2.178567142353762
584413008453724160,290243,0.2672637,AGNXY,sAGN,11.11,11.2,11.23,290243.0,1.1915039,0.0,8316.797992318843,3.8920486,0.21879053,601.456,42.76969,24.032524,1.9440887,975.9524,143.02339,290243.0,0.2672637,1.510261,0.0,8316.797992318843,5.1822095,0.1468988,2.93766393463707,1.8455806258869494
598996376063338496,318826,0.20117915,AGNXY,sAGN,10.66,10.66,10.93,318826.0,1.7100351,0.0,7883.098238867485,1.9584563,0.1555925,704.95325,124.47092,21.923222,0.9457976,2277.9163,239.13383,318826.0,0.20117915,5.3732953,0.0,7883.098238867485,2.9389231,0.05586112,2.921028145825113,1.5559219718110047
599120345999370240,249572,0.0948948,AGNXY,sAGN,9.797,9.847,9.927,249572.0,1.4325709,0.0,7185.57533890925,1.886231,0.030666284,707.2175,17.892305,20.212025,6.9393516,73.92299,35.97412,249572.0,0.0948948,1.469283,0.0,7185.57533890925,1.9184399,0.028702954,2.9259689824571677,2.461678048405882
600106882824169472,227623,0.2540331,UNCXY,sAGN,11.3,11.39,11.46,227623.0,1.4031396,0.0,8229.96818783229,2.6358035,0.31570345,149.57512,23.76197,22.824173,1.4559923,959.51624,81.68637,227623.0,0.2540331,1.5639708,0.0,8229.96818783229,3.3993814,0.26233307,2.9198175969129436,1.7245816246581536
600117603062540288,296974,0.11648728,AGNXY,sAGN,10.9,10.98,11.09,296974.0,0.95582587,0.0,7327.282479484109,2.4458363,0.30685657,254.66805,41.988037,36.09324,0.65293497,6553.268,187.12839,296974.0,0.11648728,5.4502425,0.0,7327.282479484109,3.3480434,0.22555043,3.1693036375988,1.4267476975021727
600121726231144448,238492,0.25236303,UNCXY,sAGN,10.71,10.71,10.72,238492.0,1.8162954,0.0,8219.007848055197,5.9635234,0.48085222,230.24762,24.559378,30.87399,0.5944664,1901.1981,79.52232,238492.0,0.25236303,4.2986994,0.0,8219.007848055197,9.281907,0.33173785,3.0515940669421355,1.3361286205567362
600138493783468032,717517,0.26541358,UNCXY,sAGN,10.51,10.62,10.62,717517.0,0.7875863,0.0,8304.656012181587,9.046711,0.69554895,843.02295,116.689964,32.68953,2.7050457,1754.724,336.64465,717517.0,0.26541358,6.3231826,0.0,8304.656012181587,10.908305,1.6211768,3.0719077311871827,1.989673661343646
600145915486955520,238358,0.054054633,AGNXY,sAGN,10.7,10.76,10.84,238358.0,0.80351925,0.0,6917.549537996707,4.598629,0.26479283,1878.9574,149.29042,32.241783,0.62619513,15711.992,603.09607,238358.0,0.054054633,7.5612154,0.0,6917.549537996707,4.3323035,0.16187645,3.1452874757096088,1.433578110761619
600219033010202624,265388,0.07602556,AGNXY,ELR,10.44,10.53,10.61,265388.0,1.0638957,0.0,7061.740355303742,2.802914,0.24336156,204.31464,23.752728,71.59614,27.71533,582.45996,273.78107,265388.0,0.07602556,1.1431768,0.0,7061.740355303742,3.0152152,0.2285528,3.4827985660566867,3.070629011465202
601236356194134016,239259,0.086783744,SFGX,wAGN,10.61,10.67,10.74,239259.0,1.0287488,0.0,7132.344156865,2.201353,0.07180466,572.85675,25.88787,37.493904,13.255972,230.16298,113.020935,239259.0,0.086783744,1.0653266,0.0,7132.344156865,2.2629814,0.066197515,3.197549074993582,2.745999989987076
601274014467385344,319799,0.19783822,UNCX,ELR,11.15,11.23,11.35,319799.0,1.2597593,0.0,7861.172412583808,1.6945802,0.3525554,64.57721,16.813547,73.69774,20.605537,594.45703,201.43279,319799.0,0.19783822,1.3745512,0.0,7861.172412583808,1.9923103,0.34483317,3.448787551603018,2.895317318664195
601295180066220032,250557,0.07834341,AGNXY,sAGN,10.84,10.88,10.91,250557.0,3.3196592,0.0,7076.951896817572,3.1783006,0.18307875,1195.5759,87.92347,19.321573,0.32606176,6659.5454,292.49368,250557.0,0.07834341,4.4071107,0.0,7076.951896817572,5.338891,0.09898327,2.9130169394057512,1.1402743277146783
601314696397613056,319400,0.04990226,UNCX,ELR,10.35,10.4,10.49,319400.0,1.2834806,0.0,6890.298357036907,1.961468,0.13067158,371.5293,33.53716,41.361958,13.564623,393.07785,174.3762,319400.0,0.04990226,1.3255324,0.0,6890.298357036907,2.0769794,0.12311471,3.2551837644982564,2.770990403182409
601386714409232384,266104,0.20091835,AGNXY,sAGN,10.77,10.87,10.96,266104.0,1.2378627,0.0,7881.386649662727,2.772262,0.2047176,233.42339,23.575327,48.45669,3.6071455,1163.3586,124.87131,266104.0,0.20091835,2.2179453,0.0,7881.386649662727,3.6615846,0.19701718,3.265571813871763,2.1373817296638475
602404312454293504,320308,0.09948415,AGNXY,sAGN,10.45,10.53,10.62,320308.0,1.1160966,0.0,7215.694375796927,2.429854,0.048566706,815.82117,23.887901,22.023958,5.5189075,175.03204,63.18993,320308.0,0.09948415,1.2058874,0.0,7215.694375796927,2.5117579,0.04390565,2.9614379429363247,2.3603956878619825
602423553907779584,297805,0.10148423,UNCXY,sAGN,10.43,10.43,10.44,297805.0,1.274502,0.0,7228.820502508336,3.6338954,0.10498776,1007.38165,37.922287,20.549362,1.029738,1039.0714,109.36862,297805.0,0.10148423,2.1146474,0.0,7228.820502508336,4.3554506,0.06882237,2.930551604729204,1.6304800015612735
602462586570565632,250981,0.08690365,UNCXY,sAGN,10.63,10.69,10.74,250981.0,1.1080278,0.0,7133.1310387821495,2.4620743,0.02314672,4365.798,71.50533,19.856104,4.6175613,308.45172,108.74475,250981.0,0.08690365,1.2026695,0.0,7133.1310387821495,2.4998665,0.020881565,2.921434539509543,2.28795317023766
602527182878697472,343175,0.28637165,SFGXY,sAGN,10.64,10.7,10.7,343175.0,1.1324651,0.0,8442.19965571118,4.5520062,0.459922,246.78165,32.16712,21.799934,2.3294892,420.43118,105.68573,343175.0,0.28637165,1.2059232,0.0,8442.19965571118,5.7992773,0.25125843,2.888820262808565,1.9176257853511525
603490630361966592,240161,0.2956451,SFGXY,sAGN,11.14,11.15,11.15,240161.0,1.3415035,0.0,8503.059386536108,10.097969,0.26617068,2487.5164,101.390465,40.21095,1.0485716,5077.2417,292.02704,240161.0,0.2956451,5.5356884,0.0,8503.059386536108,10.391828,0.22896492,3.151589824275764,1.5678435815720297
603502175234058240,321011,0.28006503,UNCXY,sAGN,10.96,10.98,11.01,321011.0,1.3767518,0.0,8400.810563373629,7.7048154,0.5500384,472.1542,46.864105,52.2451,3.3579295,2006.6605,237.44963,321011.0,0.28006503,2.4645553,0.0,8400.810563373629,7.363174,0.46915236,3.2705450761422856,2.0785710852141643
603567046420097024,239599,0.21111476,AGNXY,sAGN,10.79,10.83,10.91,239599.0,1.6180884,0.0,7948.303736861894,5.5130033,0.49505192,188.09178,23.651175,55.923412,1.6932458,2764.4768,120.21986,239599.0,0.21111476,6.7908196,0.0,7948.303736861894,4.9382224,0.34966144,3.3241399087498094,1.8052662550597345
603606628838696960,266910,0.09850432,AGNXY,sAGN,10.59,10.59,10.59,266910.0,1.3832725,0.0,7209.263943772896,2.5630624,0.05261436,1045.8972,29.960613,19.36376,1.0469843,920.13983,74.8629,266910.0,0.09850432,2.6427138,0.0,7209.263943772896,3.126472,0.043906216,2.905919468063801,1.6388699461188494
603619822978230272,251657,0.13802448,UNCXY,sAGN,10.54,10.65,10.7,251657.0,0.9970336,0.0,7468.626812282594,2.5505025,0.041850504,899.76086,21.112192,12.955832,1.8795588,161.94717,36.329216,251657.0,0.13802448,1.201055,0.0,7468.626812282594,2.694018,0.034199607,2.7160452513248976,1.8776358602084422
604616530319140864,240500,0.075382754,AGNXY,sAGN,10.08,10.08,10.14,240500.0,0.97871006,0.0,7057.521743067856,2.6678262,0.09749482,475.03552,23.806131,39.999603,0.88993233,2883.124,94.92703,240500.0,0.075382754,8.200012,0.0,7057.521743067856,2.6451938,0.08457279,3.230224159050625,1.5775254624865154
604680851749365760,298590,0.03362265,AGNXY,wAGN,10.43,10.56,10.63,298590.0,1.0070473,0.0,6783.458520773863,2.088833,0.07748648,1122.0446,57.71182,34.983864,2.3062453,2522.2842,238.13911,298590.0,0.03362265,2.2632577,0.0,6783.458520773863,2.4860742,0.0706091,3.1892373052075387,2.0082750276260666
604704766127269888,251811,0.13993292,AGNXY,sAGN,10.42,10.42,10.42,251811.0,1.423634,0.0,7481.15155626415,3.5544226,0.11704158,809.5475,36.23491,33.285137,0.38953248,5458.53,112.239006,251811.0,0.13993292,8.894822,0.0,7481.15155626415,4.083383,0.08706346,3.125102598804385,1.193395925842072
604760566342379520,262966,0.21121311,AGNXY,sAGN,11.1,11.1,11.1,262966.0,1.6497363,0.0,7948.94912535217,2.6775756,0.3397033,155.68993,26.031723,42.94879,0.36829948,8299.755,120.11874,262966.0,0.21121311,25.37298,0.0,7948.94912535217,4.796946,0.20744123,3.2094619184183903,1.1427120911723956
604768262923773952,263031,0.29992333,UNCXY,sAGN,10.83,10.86,10.86,263031.0,1.3000269,0.0,8531.13658822813,2.973426,0.15590534,211.57346,14.575639,21.703444,0.6992392,821.095,39.970474,263031.0,0.29992333,2.6100738,0.0,8531.13658822813,6.4502172,0.17105496,2.8823424627371637,1.390439574882072
605832865090922496,252182,0.06938231,AGNXY,sAGN,10.41,10.52,10.52,252182.0,1.0309279,0.0,7018.142033669058,2.578022,0.04368038,2492.8513,61.558323,14.033952,1.1698941,1004.0029,120.828575,252182.0,0.06938231,1.9527203,0.0,7018.142033669058,2.9625113,0.034947433,2.777778536464289,1.6987451004248495
635085100341553152,345622,0.07364404,UNCXY,sAGN,10.41,10.5,10.58,345622.0,1.7611691,0.0,7046.110887674738,2.4899313,0.018224863,2742.737,31.913969,23.250168,1.5460058,547.0924,59.27985,345622.0,0.07364404,2.624846,0.0,7046.110887674738,2.5836408,0.015940433,2.9952973246925505,1.8180823482358903
636205777584941056,422929,0.18835561,AGNXY,sAGN,10.95,11.02,11.08,422929.0,1.8183982,0.0,7798.939963287836,3.9597383,0.10126482,1469.4799,50.89505,20.235794,1.9499747,632.38135,125.06518,422929.0,0.18835561,1.9751788,0.0,7798.939963287836,4.362604,0.06731555,2.890905375448417,1.8748141024324474
G09_Y1_AN1_176,300335,0.13978218,AGNXY,sAGN,10.76,10.85,10.94,300335.0,0.6146653,0.0,7480.162236049623,5.084829,0.40140584,178.89868,20.211819,36.23976,6.562131,388.38083,110.35445,300335.0,0.13978218,0.7682947,0.0,7480.162236049623,5.2517996,0.2607944,3.162094998490194,2.4199545815864854
G09_Y1_BN1_307,323246,0.061946776,AGNXY,ELR,10.52,10.56,10.64,323246.0,1.0303326,0.0,6969.344097099004,2.301014,0.11149463,193.01083,12.40393,73.32601,16.91584,674.68976,190.61734,323246.0,0.061946776,1.2533551,0.0,6969.344097099004,2.467426,0.10483246,3.4988868491882332,2.8619223641583225
G09_Y1_BN2_106,214649,0.3107107,SFGX,sAGN,10.87,11.02,11.12,214649.0,0.7006576,0.0,8601.931943179185,2.1135092,0.061017435,102.65735,3.9687088,26.330116,6.8583565,42.581577,14.924499,214649.0,0.3107107,0.7580143,0.0,8601.931943179185,2.2074678,0.055921663,2.962677473188882,2.378444756909478
G09_Y1_BN2_306,381008,0.25813785,SFGXY,UNC,10.69,10.69,10.69,381008.0,0.68275595,0.0,8256.906946038145,4.6458836,0.17254628,214.27377,10.310431,19.816591,0.9002194,348.36142,30.43047,381008.0,0.25813785,0.9281561,0.0,8256.906946038145,6.1627073,0.10527052,2.857032258680869,1.5143516806112731
G09_Y1_BS2_044,3899250,0.28103963,AGNXY,SFG,11.05,11.1,11.19,3899250.0,0.8823099,0.0,8407.20667682413,7.058632,0.71228915,190.54024,25.701777,120.00483,24.360987,2065.5146,595.12836,3899250.0,0.28103963,1.3637004,0.0,8407.20667682413,5.2809134,0.53887707,3.6313677050398216,2.938863859009804
