CATAID_1,SPECID,BPT,WHAN,WISE_AGN,CIGALE_AGN,BLR_HA,BLR_HB,LOFAR,eFEDS,Score
278841,526952249683896320,AGNXY,sAGN,True,True,True,True,False,True,7
377246,530346167402260480,AGNXY,sAGN,True,True,True,True,False,True,7
600408,529278266817669120,AGNXY,sAGN,True,True,True,True,False,True,7
239599,603567046420097024,AGNXY,sAGN,True,True,True,True,False,False,6
692601,320958471644145664,AGNXY,sAGN,True,True,True,True,False,False,6
107713,346920960336619520,AGNXY,sAGN,True,True,True,True,False,False,6
251811,604704766127269888,AGNXY,sAGN,True,True,True,True,False,False,6
262966,604760566342379520,AGNXY,sAGN,True,True,True,True,False,False,6
376679,528174356874946560,AGNXY,sAGN,False,True,True,True,False,True,6
3588816,G09_Y4_218_081,AGNXY,sAGN,True,True,True,False,False,True,6
600710,530323352535984128,AGNXY,sAGN,False,True,True,True,False,True,6
751044,323243533244852224,AGNXY,sAGN,True,True,True,True,False,False,6
719471,528184252479596544,UNCXY,sAGN,False,True,True,True,False,True,5
3911743,G09_Y4_221_370,AGNXY,sAGN,False,False,True,False,True,True,5
559141,318692373649451008,AGNXY,sAGN,True,True,True,False,False,False,5
210349,G09_Y1_GS2_316,AGNXY,sAGN,False,False,True,True,False,True,5
601010,G09_Y1_GS1_355,AGNXY,sAGN,True,False,True,False,False,True,5
23104,321040660138321920,AGNXY,sAGN,False,True,True,True,False,False,5
743886,525806833261111296,AGNXY,UNC,True,True,True,False,False,True,5
22307,G12_Y1_BX1_056,AGNXY,sAGN,True,False,True,True,False,False,5
144673,372842508561967104,AGNXY,sAGN,True,False,True,True,False,False,5
240500,604616530319140864,AGNXY,sAGN,False,True,True,True,False,False,5
463453,1031470589610584064,AGNXY,sAGN,True,False,True,True,False,False,5
617634,340163637186422784,AGNXY,sAGN,True,False,True,True,False,False,5
250339,G15_Y4_244_055,AGNXY,sAGN,True,True,False,False,True,False,5
560638,G12_Y1_FN1_127,AGNXY,sAGN,True,False,True,True,False,False,5
3576875,G09_Y4_203_291,UNCXY,sAGN,False,True,True,True,False,True,5
250557,601295180066220032,AGNXY,sAGN,False,False,True,False,True,False,4
238358,600145915486955520,AGNXY,sAGN,False,False,True,True,False,False,4
238492,600121726231144448,UNCXY,sAGN,False,True,True,True,False,False,4
561115,G12_Y1_GN1_084,UNCXY,sAGN,False,True,True,True,False,False,4
318826,598996376063338496,AGNXY,sAGN,False,False,True,True,False,False,4
266910,603606628838696960,AGNXY,sAGN,True,False,True,False,False,False,4
252182,605832865090922496,AGNXY,sAGN,False,True,True,False,False,False,4
300335,G09_Y1_AN1_176,AGNXY,sAGN,False,False,True,False,False,True,4
296974,600117603062540288,AGNXY,sAGN,False,False,True,True,False,False,4
197639,529211196608374784,UNCXY,sAGN,False,False,True,True,False,True,4
290243,584413008453724160,AGNXY,sAGN,True,False,True,False,False,False,4
509592,G15_Y2_004_142,AGNXY,sAGN,True,False,True,False,False,False,4
598998,5396513115045625856,AGNXY,sAGN,False,False,True,False,False,True,4
747874,531566625829185536,SFGXY,SFG,False,True,True,True,False,True,4
512585,G15_Y2_006_270,AGNXY,sAGN,True,True,False,False,False,False,4
216192,530324177169704960,AGNXY,sAGN,True,False,False,False,False,True,4
3903268,G09_Y1_DS2_116,UNCXY,sAGN,False,True,True,True,False,False,4
323854,528139997136578560,AGNXY,wAGN,False,False,True,False,False,True,4
22727,320971116027865088,SFGXY,sAGN,False,True,True,True,False,False,4
319153,4537463580517728256,AGNXY,wAGN,False,False,True,False,True,False,4
513244,346779398214543360,AGNXY,sAGN,False,False,True,False,True,False,4
64474,345714521219819520,AGNXY,sAGN,False,False,True,True,False,False,4
594304,345696929033775104,UNCXY,sAGN,False,True,True,True,False,False,4
748809,G15_Y5_029_255,UNCXY,sAGN,False,True,True,True,False,False,4
586321,323304006384379904,AGNXY,sAGN,False,False,True,True,False,False,4
492406,G15_Y1_CX2_384,AGNXY,sAGN,False,False,True,False,True,False,4
240161,603490630361966592,SFGXY,sAGN,False,True,True,True,False,False,4
55958,323152548657653760,AGNXY,sAGN,False,True,True,False,False,False,4
30518,318699525491419136,UNCXY,sAGN,False,True,True,True,False,False,4
3911945,G09_Y4_212_384,AGNXY,sAGN,False,False,True,False,False,True,4
171994,G12_Y5_010_337,AGNXY,sAGN,True,False,True,False,False,False,4
600636,G09_Y2_033_351,AGNXY,sAGN,False,False,True,False,False,True,4
131908,G12_Y6_052_118,AGNXY,sAGN,True,False,True,False,False,False,4
492762,1034794413781444608,UNCXY,sAGN,False,True,True,True,False,False,4
22002,G12_Y1_AX1_025,AGNXY,sAGN,True,False,True,False,False,False,4
959586,G12_Y6_056_011,SFGX,sAGN,False,False,True,True,True,False,4
372936,G09_Y2_024_361,AGNXY,sAGN,True,False,True,False,False,False,4
493251,1034872204229109760,AGNXY,sAGN,False,False,True,True,False,False,4
485402,1032601712566757376,AGNXY,sAGN,True,False,True,False,False,False,4
611780,G12_Y1_IN1_394,AGNXY,sAGN,True,False,True,False,False,False,4
172219,G12_Y4_206_292,UNCXY,sAGN,False,True,True,True,False,False,4
491709,1031459319616399360,AGNXY,sAGN,False,False,True,False,True,False,4
8593,G12_Y1_GND1_322,AGNXY,sAGN,True,False,True,False,False,False,4
324634,G09_Y1_FN2_347,AGNXY,sAGN,True,False,False,False,False,True,4
561914,324278448178620416,AGNXY,wAGN,True,False,False,False,False,False,3
136205,G12_Y1_AS2_167,AGNXY,sAGN,True,False,False,False,False,False,3
537289,324318855230941184,UNCXY,sAGN,False,False,True,True,False,False,3
511949,G15_Y2_021_201,AGNXY,sAGN,False,False,True,False,False,False,3
323593,525963788545976320,AGNXY,ELR,False,False,True,False,True,False,3
609308,G12_Y1_AN1_388,AGNXY,sAGN,False,False,True,False,False,False,3
