SPECID_x,CATAID_1,SURVEY_x,Z,BPT,WHAN,OIIIR_FLUX_ERR,OIIIR_FLUX,SN_OIII
1031417538174543872,463196,SDSS,0.14727525,SFGX,wAGN,19.85016,-45.94417,-2.3145491018712194
1031419462319892480,491454,SDSS,0.029513683,UNCX,LLR,79.22523,-615.4784,-7.768717111960419
1031421386465241088,484660,SDSS,0.05488402,UNCX,ELR,36.138454,-137.26141,-3.798209242708612
1031466191564072960,460640,SDSS,0.1963959,UNCX,ELR,14.742574,-49.058266,-3.327659471134417
1032550310398158848,511455,SDSS,0.13770299,UNCX,UNC,13.1278925,-36.837566,-2.8060532945406127
1032609958903965696,508073,SDSS,0.092063665,AGNX,LLR,17.139393,-66.617065,-3.8867808795795744
1032619854508615680,492267,SDSS,0.05496422,AGNX,LLR,17.507471,-49.907024,-2.850612975454879
1033691328656992256,511892,SDSS,0.055218384,AGNX,LLR,30.820877,-119.564644,-3.879339449036444
1035977488326486016,505832,SDSS,0.05742167,UNCX,LLR,28.41153,-86.19023,-3.0336356401784768
317659382441601024,21859,SDSS,0.110960506,NOEL,LLR,14.491954,-31.25088,-2.1564296988522043
318661317462353920,559393,SDSS,0.11701963,UNCX,ELR,20.160192,-42.641235,-2.115120480995419
318697051590256640,534903,SDSS,0.106289156,NOEL,LLR,11.647593,-26.180826,-2.247745607182531
318734160107694080,21990,SDSS,0.07504777,UNCX,LLR,14.236572,-59.490585,-4.178715564392889
319763302722856960,39998,SDSS,0.12601897,SFGX,ELR,21.739101,-56.50063,-2.599032499090004
319778421007738880,31079,SDSS,0.080785796,UNCX,NER,33.236553,-71.12106,-2.1398446463446437
319832571955406848,559529,SDSS,0.13534962,UNCX,ELR,16.664782,-39.12846,-2.347973108799143
319847965118195712,7405,SDSS,0.26516873,NOEL,NER,9.72288,-46.575523,-4.7903011247696154
319862258769356800,69986,SDSS,0.047383454,AGNX,LLR,37.778004,-195.49037,-5.174714100829679
319873803641448448,609948,SDSS,0.08174586,SFGX,ELR,21.817484,-60.992336,-2.7955714783611163
319885623391447040,584102,SDSS,0.12764908,NOEL,LLR,20.420362,-125.370766,-6.139497722910103
319894144606562304,84553,SDSS,0.22934622,NOEL,LLR,13.344305,-79.84586,-5.983515814424206
319903490455398400,98470,SDSS,0.28351,UNCX,NER,8.144257,-20.82173,-2.556615047879751
319905414600747008,70163,SDSS,0.16221151,AGNX,LLR,17.629648,-44.65369,-2.532874734651537
319909262891444224,84610,SDSS,0.06074439,UNCX,LLR,17.037302,-80.040405,-4.697950708392679
319919983129815040,584385,SDSS,0.1051175,UNCX,LLR,20.9805,-78.99213,-3.7650260956602564
319920532885628928,584375,SDSS,0.109407805,NOEL,NER,13.316857,-33.26986,-2.4983267448167386
320891951190665216,584998,SDSS,0.1109152,UNCX,LLR,18.010536,-96.84609,-5.377190884269075
320910368010430464,560455,SDSS,0.11995598,UNCX,NER,16.536552,-39.258293,-2.374031357927578
320924936539498496,584682,SDSS,0.08133267,AGNX,LLR,35.78347,-261.24734,-7.300782735715681
320991182115072000,70331,SDSS,0.07671227,AGNX,LLR,15.091586,-76.93319,-5.097753807982806
321022243318556672,610397,SDSS,0.077492334,UNCX,ELR,23.649921,-54.829643,-2.3183858838259965
322059083941177344,55280,SDSS,0.110814035,UNCX,ELR,25.688093,-55.210026,-2.1492458003791874
322145395603957760,8334,SDSS,0.11961391,UNCX,ELR,20.366438,-52.179276,-2.562022676719415
322148694138841088,70811,SDSS,0.13079375,NOEL,NER,22.34,-46.732937,-2.0918951208594447
323137705250678784,537084,SDSS,0.04003784,AGNX,LLR,49.082367,-331.7802,-6.759661774257953
323158321093699584,537027,SDSS,0.104384616,AGNX,LLR,25.480078,-100.84703,-3.957877601473591
323216320332064768,536467,SDSS,0.07940587,AGNX,LLR,20.718546,-98.90843,-4.773907879442891
323234737151830016,23640,SDSS,0.3019447,NOEL,NER,10.235864,-36.542374,-3.5700331696474286
323258651529734144,99470,SDSS,0.27154624,UNCX,NER,14.080735,-62.212975,-4.418304513223209
324279822568155136,56378,SDSS,0.12624785,UNCX,LLR,14.071478,-49.99746,-3.5531065038086256
324302912312338432,561838,SDSS,0.15645753,SFGX,sAGN,16.40143,-39.254696,-2.393370334172081
324310608893732864,586376,SDSS,0.18588722,UNCX,NER,13.317695,-53.63979,-4.027708248311738
324344418876286976,561446,SDSS,0.123697884,SFGX,sAGN,19.7788,-43.68351,-2.208602645256537
324362011062331392,8983,SDSS,0.20033705,NOEL,NER,12.706061,-45.69639,-3.596424572493395
324413688108836864,24390,SDSS,0.23563668,NOEL,NER,12.514453,-32.041862,-2.5603885363587207
324418086155347968,100073,SDSS,0.17508733,UNCX,LLR,18.31746,-43.458427,-2.372513820147553
324421109812324352,71679,SDSS,0.16972739,UNCX,LLR,17.21944,-59.651943,-3.46422084574179
340063856506202112,62304,SDSS,0.2386051,NOEL,NER,11.794569,-31.021378,-2.6301408724642674
340076226012014592,62239,SDSS,0.053064823,AGNX,LLR,39.430443,-124.60519,-3.1601265550072566
341156494961567744,568351,SDSS,0.13456084,UNCX,NER,25.862965,-75.68508,-2.9263883703975937
341158419106916352,568328,SDSS,0.14720163,UNCX,NER,18.58175,-44.47096,-2.3932600535471633
341219991758071808,567805,SDSS,0.22784667,NOEL,NER,13.326204,-46.096657,-3.459098855157853
