SPECID,CATAID_1,Z_x,BPT,WHAN,RA,DEC,Z_y,URL,URL_IMG,DIST,IS_SBEST,IS_BEST
1031417538174543872,463196,0.14727525,SFGX,wAGN,211.95664,-1.28564,0.14726,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0339.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0339.png,0.03,True,True
1031417538174543872,463196,0.14727525,SFGX,wAGN,211.95654,-1.28579,0.1473,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/322080.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/322080.png,0.64,True,False
1031417538174543872,463196,0.14727525,SFGX,wAGN,211.95662,-1.28564,0.1473,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y6_108_203.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y6_108_203.png,0.07,True,False
1031419462319892480,491454,0.029513683,UNCX,LLR,211.71473,-1.54075,0.02955,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0915-52443-0590.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0915-52443-0590.png,0.05,False,False
1031419462319892480,491454,0.029513683,UNCX,LLR,211.71473,-1.54075,0.0295,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0346.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0346.png,0.05,True,True
1031419462319892480,491454,0.029513683,UNCX,LLR,211.71466,-1.54088,0.02934,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/322321.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/322321.png,0.49,True,False
1031421386465241088,484660,0.05488402,UNCX,ELR,211.95245,-1.98741,0.05487,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0353.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0353.png,0.1,True,True
1031421386465241088,484660,0.05488402,UNCX,ELR,211.95233,-1.98757,0.05483,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/322086.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/322086.png,0.66,True,False
1031421386465241088,484660,0.05488402,UNCX,ELR,211.95242,-1.98741,0.05486,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y6_108_128.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y6_108_128.png,0.0,True,False
1031429357924542464,460399,0.13890514,UNCX,NER,212.1223,-1.78213,0.13889,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0382.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0382.png,0.07,True,True
1031457395471050752,460542,0.18464574,NOEL,NER,212.81014,-1.71992,0.18463,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0484.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0484.png,0.04,True,True
1031459319616399360,491709,0.18607576,AGNXY,sAGN,212.87409,-1.5443,0.18606,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0491.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0491.png,0.13,True,True
1031466191564072960,460640,0.1963959,UNCX,ELR,213.1481,-1.62819,0.19638,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0516.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0516.png,0.06,True,True
1031466191564072960,460640,0.1963959,UNCX,ELR,213.14797,-1.62843,0.19589,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/328830.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/328830.png,0.91,True,False
1031469215221049344,496989,0.1817957,SFGX,ELR,213.03659,-1.14478,0.18178,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0527.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0527.png,0.03,True,True
1031469215221049344,496989,0.1817957,SFGX,ELR,213.03661,-1.14488,0.18179,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/320971.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/320971.png,0.38,True,False
1031469215221049344,496989,0.1817957,SFGX,ELR,213.0366,-1.14478,0.1819,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0303-51615-0258.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0303-51615-0258.png,0.07,False,False
1031470589610584064,463453,0.13956514,AGNXY,sAGN,213.16155,-1.34276,0.13955,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0916-52378-0532.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0916-52378-0532.png,0.02,True,True
1031470589610584064,463453,0.13956514,AGNXY,sAGN,213.16148,-1.34291,0.139,http://www.gama-survey.org/dr3/data/spectra/2qz/J141238.7-012034a.fit,http://www.gama-survey.org/dr3/data/spectra/2qz/png/J141238.7-012034a.png,0.62,True,False
1031470589610584064,463453,0.13956514,AGNXY,sAGN,213.16154,-1.34275,0.13974,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/G15_Y6_088_158.fit,http://www.gama-survey.org/dr3/data/spectra/gama/reduced_27/1d/png/G15_Y6_088_158.png,0.04,True,False
1032550310398158848,511455,0.13770299,UNCX,UNC,214.23165,-1.17675,0.13772,http://www.gama-survey.org/dr3/data/spectra/sdss/spec-0917-52400-0364.fit,http://www.gama-survey.org/dr3/data/spectra/sdss/png/spec-0917-52400-0364.png,0.03,True,True
1032550310398158848,511455,0.13770299,UNCX,UNC,214.23166,-1.177,0.13755,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/327391.fit,http://www.gama-survey.org/dr3/data/spectra/2dfgrs/png/327391.png,0.92,True,False
