SPECID,BPT,WHAN,CATAID,HB_CONT,HB_CONT_ERR,HB_GRAD,HB_GRAD_ERR,HB_REDCHI_EMB,HB_REDCHI_EMABS,HB_FITFAIL,HB_NPEG,HB_MODSEL_EM_LINE,HB_MODSEL_EMB_EM,HB_MODSEL_NABS_N,HB_BF,HB_DELBIC,HB_DELAIC,HB_CEN,AMP_HB,AMP_HB_ERR,POS_HB,POS_HB_ERR,SIG_HB,SIG_HB_ERR,HB_FLUX,HB_FLUX_ERR,HB_EW,HB_EW_ERR,AMP_HB_ABS,AMP_HB_ABS_ERR,POS_HB_ABS,POS_HB_ABS_ERR,SIG_HB_ABS,SIG_HB_ABS_ERR,HB_ABS_FLUX,HB_ABS_FLUX_ERR,HB_ABS_EW,HB_ABS_EW_ERR,HB_ABS_NPEG,AMP_HB_B,AMP_HB_B_ERR,POS_HB_B,POS_HB_B_ERR,SIG_HB_B,SIG_HB_B_ERR,HB_B_FLUX,HB_B_FLUX_ERR,HB_B_EW,HB_B_EW_ERR,HB_B_NPEG,AMP_OIIIB,AMP_OIIIB_ERR,POS_OIIIB,POS_OIIIB_ERR,SIG_OIIIB,SIG_OIIIB_ERR,OIIIB_FLUX,OIIIB_FLUX_ERR,OIIIB_EW,OIIIB_EW_ERR,AMP_OIIIR,AMP_OIIIR_ERR,POS_OIIIR,POS_OIIIR_ERR,SIG_OIIIR,SIG_OIIIR_ERR,OIIIR_FLUX,OIIIR_FLUX_ERR,OIIIR_EW,OIIIR_EW_ERR,OIIIR_NPEG,OIIIB_NPEG,HA_CONT,HA_CONT_ERR,HA_GRAD,HA_GRAD_ERR,HA_REDCHI_EMB,HA_REDCHI_EMABS,HA_FITFAIL,HA_NPEG,HA_MODSEL_EM_LINE,HA_MODSEL_EMB_EM,HA_MODSEL_NABS_N,HA_BF,HA_DELBIC,HA_DELAIC,HA_CEN,AMP_HA,AMP_HA_ERR,POS_HA,POS_HA_ERR,SIG_HA,SIG_HA_ERR,HA_FLUX,HA_FLUX_ERR,HA_EW,HA_EW_ERR,AMP_HA_ABS,AMP_HA_ABS_ERR,POS_HA_ABS,POS_HA_ABS_ERR,SIG_HA_ABS,SIG_HA_ABS_ERR,HA_ABS_FLUX,HA_ABS_FLUX_ERR,HA_ABS_EW,HA_ABS_EW_ERR,HA_ABS_NPEG,AMP_HA_B,AMP_HA_B_ERR,POS_HA_B,POS_HA_B_ERR,SIG_HA_B,SIG_HA_B_ERR,HA_B_FLUX,HA_B_FLUX_ERR,HA_B_EW,HA_B_EW_ERR,HA_B_NPEG,AMP_NIIB,AMP_NIIB_ERR,POS_NIIB,POS_NIIB_ERR,SIG_NIIB,SIG_NIIB_ERR,NIIB_FLUX,NIIB_FLUX_ERR,NIIB_EW,NIIB_EW_ERR,AMP_NIIR,AMP_NIIR_ERR,POS_NIIR,POS_NIIR_ERR,SIG_NIIR,SIG_NIIR_ERR,NIIR_FLUX,NIIR_FLUX_ERR,NIIR_EW,NIIR_EW_ERR,NIIB_NPEG,NIIR_NPEG,SN_CONT
1031419462319892480,UNCX,LLR,491454,583.04144,0.9597568,-0.00013681754,1.0638737e-05,2.812471,2.0545545,0.0,2,201,0,0,1.0130585,-4.5958667,1.4608536,5105.183418463204,179.21867,-0.0,-97.0493,-0.0,4.2413764,0.5437086,1905.373,244.25272,3.1742313,0.40694317,-244.94914,7.7718496,-97.47777,0.16305067,5.357207,0.39937782,-3289.3062,266.50162,-5.479776,0.44406646,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,49.651012,3.838153,-3.4386978,0.0,13.731786,0.0,1709.0117,132.11107,2.8471684,0.22014345,-24.496893,3.6468863,45.91609,-0.0,13.798422,-0.0,-847.2866,126.136734,-1.4115735,0.21015574,2,2,664.3372,1.0959,-0.000106510175,1.6236432e-05,1.7360613,0.934899,0.0,3,201,0,0,-11.89187,-24.121216,-20.331232,6756.492199517473,76.38556,-0.0,-4.5074463,-0.0,11.35956,-0.0,2175.0173,0.0,3.1801066,0.005245945,-137.46455,6.0179973,-0.8796934,0.5642014,7.1555014,0.6072466,-2465.589,235.44128,-3.6049557,0.34429178,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,-23.57796,12.3352785,-14.742009,1.1287798,3.7980492,1.4938154,-224.4692,146.92027,-0.3281973,0.2148134,16.813095,7.972967,21.682085,1.6601739,3.806836,1.4972713,160.43597,98.84347,0.23457545,0.14452079,0,0,606.2023907290811
1031429357924542464,UNCX,NER,460399,43.21524,0.20288591,-4.0629427e-08,2.7552049e-05,1.30764,1.244164,0.0,1,201,0,0,-2.8652084,-12.139138,-6.2048154,5647.637050464845,19.261211,-0.0,-109.19276,4.4241915,5.8442354,3.25645,282.16376,157.22368,5.7329307,3.1945436,-23.527777,1.4658388,-109.24196,3.7794423,6.382454,2.6770895,-376.40768,159.61455,-7.6477547,3.243206,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,5.1270227,1.2127584,-3.4306846,0.1377794,7.9173727,2.109462,101.750435,36.252254,2.0673394,0.736628,1.677557,1.0854069,51.168316,2.0549657,7.956442,2.1198714,33.456932,23.410713,0.67976946,0.47566363,0,0,50.194675,0.19073966,-9.775857e-05,3.5331832e-05,0.86152035,0.845322,0.0,1,201,0,0,-1.1993393,-3.6128414,0.17714229,7474.406411955759,17.892342,-0.0,-0.38626722,1.0732539,3.0680778,0.7424369,137.60161,33.297886,2.4070103,0.58253855,-21.433907,2.036682,-0.37487388,0.784259,2.3552513,0.6003433,-126.5402,34.42286,-2.2135177,0.6022042,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,2.2587104,1.0994713,-15.125472,0.44632903,4.2924666,0.7413789,24.302862,12.552504,0.42510813,0.21957561,8.710671,1.3388469,25.16888,0.7426943,4.3024664,0.743106,93.94183,21.71971,1.6433691,0.3800045,0,0,263.15803960225156
1031457395471050752,NOEL,NER,460542,29.613535,0.12596424,-0.00019262903,2.3861798e-05,1.3323618,1.1602066,0.0,3,201,0,111,22.098007,8.653864,14.676117,5874.456952903414,0.0,-0.0,-117.93475,-0.0,1.8054417,-0.0,0.0,-0.0,0.0,-0.0,-5.7414446,1.0160373,-113.42434,1.1561702,5.8020487,1.2249477,-83.50115,23.002987,-2.3784466,0.6552951,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,2.620186,0.57383585,-3.956852,0.0,15.800957,0.0,103.77804,22.727987,2.958118,0.6479671,-0.20379132,0.5002867,52.834946,-0.0,15.877634,-0.0,-8.110757,19.911074,-0.23127672,0.56776136,2,2,34.53801,0.14227088,-5.2979452e-05,3.5628113e-05,1.3764361,1.103382,0.0,2,201,0,0,-0.65254176,-9.535753,-5.74577,7774.592864802703,18.357327,-0.0,0.7902992,2.9236875,13.071274,-0.0,601.47455,0.0,14.700496,0.060555205,-22.84974,0.6480739,0.7397932,2.070172,11.108346,0.45462668,-636.23944,31.680714,-15.550174,0.7769457,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,1.1800216,2.2137785,-14.971808,0.47409132,1.240615,0.0,3.6695848,6.884321,0.089685276,0.16825438,-3.1057665,1.66675,26.940844,0.85309803,1.2380303,-0.0,-9.638068,5.1723948,-0.23557118,0.12642606,1,1,242.76232775111816
1032603086956292096,UNCX,NER,507985,21.129827,0.095187224,-6.221065e-05,2.451553e-05,1.1777053,1.0635083,0.0,3,201,0,0,-0.31337258,-12.370123,-6.3134027,6340.066951076371,0.0,-0.0,-123.131645,-0.0,2.6398032,-0.0,0.0,-0.0,0.0,-0.0,-3.1748924,0.56657416,-123.44981,2.210938,10.901069,2.332016,-86.7537,24.168364,-3.2101078,0.894408,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,1.9346051,0.5910352,-4.2704735,0.0,8.239226,2.9254627,39.954777,18.715124,1.4789472,0.6927823,0.5582409,0.48531216,57.022648,-0.0,8.280035,2.9399526,11.586273,10.880354,0.42894948,0.40281942,1,1,27.210888,0.16622785,-8.685245e-05,4.5245495e-05,1.4109975,1.4337184,0.0,1,0,0,0,-3.9827719,-6.376037,-2.5860536,8390.807810047494,3.1836324,1.6999756,-5.5977445,-0.0,2.883085,1.854907,23.007547,19.236568,0.66131026,0.552935,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,0.0,-0.0,-1.1988355,-0.0,42.693775,-0.0,0.0,-0.0,0.0,-0.0,3,0.18507585,0.91428363,-14.869168,1.6189091,6.7066655,2.729986,3.1113317,15.422219,0.08942694,0.44327095,3.9464092,1.2015504,30.36548,3.3060997,6.723484,2.7368321,66.50992,33.808655,1.9119266,0.97195023,0,0,163.69632405159544
1032609958903965696,AGNX,LLR,508073,74.41451,0.16375619,6.1643994e-05,1.5032144e-05,2.3652928,1.9191824,0.0,3,201,0,0,-5.58594,-11.795922,-5.8616,5415.358149739929,31.284054,-0.0,-110.0291,-0.0,8.925718,-0.0,699.9325,0.0,8.613708,0.018957974,-41.58958,0.9996654,-108.688675,0.2453918,8.79636,0.2522421,-917.0173,34.312233,-11.285245,0.42299232,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.985148,2.6997337,3.0682337,0.038541324,0.85903883,0.0,10.734474,5.8133125,0.13209125,0.07153532,1.5518227,2.725003,55.421658,0.69617385,0.8706947,-0.0,3.3868654,5.9473405,0.041674692,0.07318088,1,1,96.411995,0.17527106,2.9101731e-05,1.6979488e-05,1.9177245,1.8083756,0.0,1,201,0,201,18.053793,15.741484,19.513268,7166.995208043947,30.253832,-0.0,1.8367748,0.6457819,3.7856154,0.47114506,287.08255,35.729336,2.7266383,0.33938453,-25.725235,1.4590443,2.4966567,0.8408115,4.938992,0.6019908,-318.48398,42.81543,-3.0248806,0.40668735,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.654002,1.1295909,-15.721632,0.27256128,3.4632335,0.4195202,40.401573,10.959467,0.3837261,0.104093164,13.546711,1.4491347,22.915472,0.39727876,3.4707751,0.42043373,117.855606,19.046373,1.1193559,0.18090798,0,0,550.0736687505627
1032614356950476800,UNCX,NER,485436,65.31942,0.21381131,-6.3050284e-05,2.1730113e-05,1.563977,1.44185,0.0,1,201,0,0,-1.6741818,-11.007675,-5.0644436,5411.044032101777,16.59981,79.720345,-109.94145,-0.0,6.567529,5.16985,273.27194,1329.8977,3.8335826,18.65641,-21.058645,76.79553,-107.56478,9.158244,8.031592,1.1953372,-423.95724,1547.3513,-5.947478,21.707005,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,3.1240895,2.2341883,-0.8233251,0.022555826,2.3102992,1.3807695,18.091793,16.861639,0.2538266,0.23656908,4.268863,2.785774,51.488388,1.4105767,2.3242395,1.389101,24.870417,22.007942,0.34894782,0.30878758,0,0,75.98369,2.2180583,-4.1212814e-05,2.504891e-05,1.572858,1.6973516,0.0,0,201,201,0,19.021496,16.219492,20.009476,7161.285657616325,6.4771385,1.8674815,-0.994074,0.9238837,3.044405,1.2341594,49.428288,24.588554,0.59614664,0.29706877,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.0074196,1.9892422,0.19393797,0.31957158,96.53967,51.395527,969.7518,705.8756,11.696029,8.520302,0,5.9172735,1.6120003,-16.05895,0.20403844,2.892743,0.48655158,42.906338,13.737034,0.5174822,0.16636603,20.129175,2.5899482,22.547377,0.2864777,2.8983934,0.48750195,146.24239,30.969347,1.7638284,0.37705323,0,0,34.256849786139526
1032619854508615680,AGNX,LLR,492267,104.26201,0.17750582,-0.00012272164,1.210926e-05,3.5043542,3.0095124,0.0,2,201,0,0,-3.1015089,-9.747668,-3.6995294,5231.388305630201,32.042175,-0.0,-99.44845,-0.0,3.853716,0.7761873,309.52206,62.341675,2.8136947,0.5667341,-45.90059,1.7992373,-99.78658,0.17616758,4.618182,0.5399739,-531.34827,65.525444,-4.8301926,0.5957123,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,9.414949,2.7478628,1.3349483,0.006244483,1.184131,0.24911986,27.94523,10.054219,0.25406483,0.091409236,15.621859,3.133074,51.90983,0.24281842,1.1949389,0.25139365,46.79165,13.600499,0.4254329,0.123658806,0,0,120.73408,0.18063469,-5.1506202e-05,1.4190009e-05,2.3037896,2.0535607,0.0,1,201,0,0,-8.941122,-8.443293,-4.653309,6923.518977164863,57.09689,-0.0,2.9661102,1.1771346,4.0267553,0.8685031,576.31195,124.30075,4.5247083,0.9759266,-62.515537,1.5314531,2.8953848,1.1130441,4.3617406,0.79500484,-683.49884,125.69998,-5.3662477,0.98692125,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,8.872002,1.6796093,-14.937542,0.12987413,2.215194,0.19480844,49.26328,10.283434,0.38677016,0.08073817,27.270016,2.1332414,22.386986,0.19464315,2.2185407,0.19510274,151.6501,17.849152,1.1906366,0.14014874,0,0,668.3881152618028
1033691328656992256,AGNX,LLR,511892,180.4925,0.3173948,-9.323611e-05,1.2239783e-05,2.4206023,2.107664,0.0,2,201,0,0,0.2978658,-7.0940895,-1.04595,5232.648656099799,53.281525,-0.0,-106.31682,-0.0,7.8266225,1.1204114,1045.3,149.63875,5.488019,0.7856905,-68.392365,2.07794,-104.241806,0.29466137,7.749039,0.8505477,-1328.4507,151.29608,-6.9746194,0.794428,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,13.043249,4.853595,1.0978998,0.011234502,1.4157236,0.5366747,46.286484,24.587349,0.24302611,0.12909602,9.013762,4.464017,51.684963,0.5288778,1.4268191,0.5408808,32.23777,20.105877,0.16926807,0.10556862,0,0,211.89844,0.3687218,-7.2405026e-05,1.6330852e-05,1.2912157,1.1323465,0.0,0,201,0,0,0.8385536,-4.4328866,-0.66110253,6925.186997178737,12.4333725,13.421105,-0.22935656,1.4401923,3.2327082,2.5090196,100.75008,133.94765,0.45058346,0.59905314,-14.637541,13.635403,2.4197996,4.7307153,9.046914,6.930172,-331.93918,400.33517,-1.4845294,1.7904181,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,16.160149,4.3795724,-15.673413,0.47643372,4.19859,0.60011953,170.07431,52.10961,0.7606175,0.23305176,31.698727,6.080487,21.66011,0.6584148,4.2085295,0.60154027,334.3968,79.99382,1.4955304,0.3577676,0,0,574.6837859871589
1034813380357023744,NOEL,NER,545255,21.864973,0.07806937,-0.000110465364,2.1058357e-05,1.214779,1.1105859,0.0,1,201,0,0,-3.625673,-11.966826,-5.9186873,6372.645058666373,12.126413,-0.0,-125.504974,4.297935,6.993864,3.007001,212.58835,91.40203,7.5609217,3.2509186,-14.690983,0.6642648,-125.32267,3.7118149,7.593805,2.5084798,-279.6406,93.2357,-9.945712,3.316216,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,1.3168802,1.0225986,4.2925224,0.0,1.8693779,1.3845997,6.170684,6.6219196,0.21961059,0.23567107,1.1323591,0.9842044,65.9006,-0.0,1.8831882,1.3948287,5.3452477,6.1039877,0.19029309,0.2173056,1,1,23.569906,0.14935936,-5.2300533e-05,4.9810275e-05,1.406125,1.3785458,0.0,0,111,10,0,1.8978775,-2.4466624,1.3251218,8433.923543952536,8.71576,4.288426,-1.5031856,1.3657674,4.1196136,1.0833433,90.00191,50.21179,2.971337,1.6578068,-8.921567,4.466836,1.4880073,0.7318417,1.7906966,-0.0,-40.045444,20.049889,-1.3220752,0.66198754,1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,0.88553584,1.9117844,-19.215494,0.54527503,2.4762905,0.73116344,5.496645,11.977183,0.18145996,0.39540273,9.050432,1.8495439,26.251593,0.7449373,2.47948,0.7321052,56.249653,20.198614,1.8571492,0.66698515,0,0,157.80668851285918
1035977488326486016,UNCX,LLR,505832,119.384224,0.27760792,-9.2435934e-05,1.6491458e-05,2.245081,1.7301108,0.0,3,201,0,0,-0.79003567,-12.400154,-6.352015,5243.574376265429,0.0,-0.0,-103.877655,-0.0,3.9447043,-0.0,0.0,-0.0,0.0,-0.0,-27.594032,2.3581078,-102.840004,0.43486223,4.250709,0.44673628,-294.01297,39.82577,-2.3288243,0.31549934,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,15.715225,5.1666517,2.1658807,0.015191498,1.1153072,0.3771783,43.934437,20.721777,0.34802514,0.16414885,9.426882,4.4652267,52.85857,0.37075028,1.1261215,0.38083553,26.6099,15.487118,0.2107977,0.122686476,0,0,135.63348,0.38537517,-0.00012442158,3.0203979e-05,1.4520657,1.112445,0.0,3,201,0,0,-0.111777656,-3.2608254,-0.13761796,6939.646721153828,41.587463,-0.0,-4.629634,-0.0,11.667495,-0.0,1216.2699,0.0,8.480335,0.024095058,-51.114388,1.5224241,-3.2456234,0.48888305,10.417767,0.48626134,-1334.7739,73.90586,-9.306605,0.5159807,0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,0,4.055021,4.243844,-14.929696,0.2986107,2.641438,0.46116763,26.848711,28.487234,0.18719849,0.19862357,20.755219,3.101111,22.48178,0.44966084,2.646349,0.46202505,137.67793,31.637762,0.95997113,0.22061385,0,0,351.9517876566879
