SPEC_ID,BPT,WHAN,HgF_g,HgF_er_g,HgF_cont_g,Hg_SDSS,Hg_er_SDSS,Hg_cont_SDSS,Hg_cont_err_SDSS,HA_g,HA_er_g,HA_cont_g,HA_SDSS,HA_er_SDSS,HA_cont_SDSS,HA_cont_err_SDSS,GALRE_i,GALREERR_i
1031417538174543872,SFX,wAGN,-47.79185,19.540602,39.072857,1.6881081,2.3911467,12.976651,1.1202176,215.54816,18.105919,51.823555,78.14512,3.8458726,16.151592,1.532264,2.1717358,0.0
!1031419462319892480,UNCX,LLR,555.9076,79.25582,417.6307,15.375692,5.574612,67.83661,2.0097983,-824.3168,81.16218,665.7303,24.752716,7.4496994,97.53416,1.2086275,14.51954,0.1457361
1031421386465241088,UNCX,ELR,143.10939,39.437344,111.485565,13.518189,3.4408953,23.643402,1.5262178,280.15866,34.872326,200.75972,116.5811,4.99159,37.687515,1.4483188,10.251868,0.1648896
!1031429357924542464,UNCX,RG,30.398918,19.1466,30.404837,-0.17429449,3.4354155,9.621384,0.91885585,12.116571,15.270705,50.0959,21.904587,4.267331,14.323862,0.9652732,3.7227285,0.2619114
1031457395471050752,NOEL,RG,45.351906,12.266814,20.240076,3.0662372,1.6306013,9.461467,0.9219108,-90.80846,11.124581,35.279263,-1.3831731,1.7312974,14.348678,0.7329085,2.0053205,0.1304133
1031459319616399360,UNCXY,sAGN,-6.9852924,11.683839,25.668842,33.406082,2.5801804,11.62437,0.9171159,955.22253,17.604773,27.769655,336.2662,5.7114344,12.317918,7.9846954,0.8475,0.0251877
1031466191564072960,UNCX,ELR,12.078562,15.671415,19.806482,-1.8834231,1.8895102,6.4653354,0.75153387,64.042274,17.696209,29.47149,36.006245,4.9814115,8.535701,0.7764332,2.6740658,0.2027559
1031469215221049344,UNCX,ELR,31.055023,19.091295,21.297514,4.203298,3.0227084,6.2060375,0.87445754,74.72253,22.696522,36.673927,27.21638,6.40037,9.663282,0.8083682,4.7932906,0.272895
1031470589610584064,AGNXY,sAGN,28.322283,9.024663,20.72589,47.90232,4.338362,14.049236,1.3953756,333.0119,8.047835,21.482548,236.13567,5.2117515,14.048423,3.1540153,0.3447969,0.0110175
1032550310398158848,UNCX,ELR,17.793427,12.9581585,27.866566,6.304205,2.0453882,10.395675,0.79917186,132.85721,9.720583,41.246178,65.17308,2.4011333,14.473097,0.8244055,2.0459328,0.0608505
1032601712566757376,UNCXY,SF,-42.269634,16.265617,34.35705,24.863205,1.9894834,9.722114,0.66075224,1069.4392,17.863817,36.084038,239.18643,3.742212,10.241808,5.526866,2.9414692,0.2708271
1032603086956292096,UNCX,RG,17.20825,17.34923,15.116489,2.2085078,1.726463,4.4144006,0.6351934,41.0463,27.169481,26.608328,9.141211,3.1216938,7.4637313,0.9262133,-99999.0,-99999.0
1032609958903965696,AGNX,LLR,36.484898,18.114395,51.861946,4.666567,2.0165892,12.593175,0.764579,-13.176091,12.796005,96.41231,31.2938,2.220598,21.61373,0.84925187,6.5092745,0.1924842
1032611058415593472,UNCX,wAGN,13.816469,14.595181,35.12176,9.272642,2.206379,10.4832,0.75452965,190.32199,11.792956,51.274048,74.1304,2.604242,14.305088,1.5613693,2.8627534,0.1210569
1032614356950476800,UNCX,ELR,105.54714,24.594501,44.64895,5.536033,2.4990294,9.292681,0.9063942,52.003593,15.047842,78.91865,30.412754,2.3869944,14.903736,1.0280033,-99999.0,-99999.0
1032619854508615680,AGNX,LLR,129.44957,21.03308,73.71256,7.105778,2.0486145,19.431276,0.9916016,-105.70123,14.953434,121.378586,23.10778,2.173803,28.979147,0.77684826,3.2301953,0.0781395
!1033691328656992256,AGNX,LLR,171.31918,32.10046,128.34854,9.139569,3.360473,29.207733,1.2728564,-147.8392,28.251564,212.58144,43.96418,4.698749,44.509674,1.7664784,6.6690793,0.0808176
1034794413781444608,UNCXY,sAGN,709.8011,26.063997,149.9181,598.24896,11.231504,64.21477,10.109285,6728.8354,47.666073,164.61087,2992.5564,36.627968,68.92489,51.410347,1.2518592,0.0201366
1034813380357023744,NOEL,RG,7.965808,37.706627,16.62743,16.552881,6.700444,7.9538455,0.9764845,21.47113,22.3094,23.525198,58.564293,16.27326,10.7870865,1.4906516,1.2419943,0.076614
1034817503525627904,UNCXY,SF,-6.043575,22.334108,16.60443,4.2378902,1.9608537,3.3147888,0.726438,468.5515,24.391642,22.131058,75.39159,3.3199046,4.03694,0.8433,5.717913,0.3046932
1034836470101207040,UNCX,ELR,19.649817,18.549246,47.411583,6.6953993,2.6767144,14.456614,0.9402991,132.97052,13.765733,72.082924,67.267654,3.0887263,20.4457,2.3364086,2.6744387,0.0924792
1034837294734927872,AGNXY,wAGN,-84.186264,23.230005,60.972034,4.1458325,4.036894,19.685364,1.306786,297.73624,16.375961,83.22947,127.81105,4.5078926,25.833925,3.9464095,2.9458423,0.0906486
1034871929351202816,AGNXY,sAGN,37.29543,13.243501,25.845684,32.72737,2.5206277,10.440155,1.0244744,1041.643,14.242873,32.954994,345.33725,4.3961463,13.037127,4.123611,1.7008986,0.1117005
1034872204229109760,AGNXY,sAGN,33.853767,13.074737,31.340147,45.76554,3.905608,14.070593,1.3318824,1943.2225,17.597399,38.797222,788.379,7.347252,17.06128,15.729266,1.1761605,0.0490194
1035955223216023552,SFX,sAGN,-14.550709,36.551083,57.10223,13.61212,2.0786164,8.655324,1.013813,590.1094,25.848764,67.41647,99.17808,2.411024,9.490096,0.58789086,6.640637,0.0906486
1035963744431138816,AGNXY,sAGN,-34.88564,14.468962,37.858753,19.640068,2.3505635,13.395987,0.9449683,822.9348,17.094648,45.961624,260.44473,4.475261,15.615436,1.1857698,1.7344257,0.0540027
1035965943454394368,SFX,sAGN,307.32236,58.05328,317.73236,103.012344,6.1862535,57.572273,1.9393816,4434.406,78.45918,447.46326,785.88635,12.379113,74.62918,5.311444,13.533456,0.2036034
1035977488326486016,UNCX,LLR,41.070587,31.024828,89.52168,4.329732,1.9686165,18.684053,1.1107786,-156.43063,25.744755,135.62485,24.331911,2.111213,25.442429,1.196194,8.654026,0.2127225
1036002227338110976,UNCX,ELR,29.49253,16.812565,29.286348,1.6094751,3.3179924,9.599801,1.0097482,56.93921,16.183338,54.67497,37.004265,4.8966913,16.748388,1.0747542,4.001149,0.2314353
317515896174176256,AGNX,LLR,-28.832104,13.399602,30.459202,-6.5264735,3.313604,15.298324,1.1467189,-3.8920035,9.407932,42.1835,30.572931,3.71809,20.516525,1.281758,0.7355283,0.0090852
317525791778826240,UNCXY,SF,179.53822,14.46239,55.05691,143.54697,5.1884513,20.186607,2.6459713,2428.9607,20.545416,55.169346,1388.8129,9.50354,21.948984,14.315054,0.6725082,0.0384087
317552454935799808,UNCXY,sAGN,-38.371086,18.255262,43.633717,12.785906,1.6764672,8.553458,0.9171132,738.72015,20.638638,50.578075,146.76852,3.0780528,9.9180765,0.73042685,-99999.0,-99999.0
317659382441601024,NOEL,LLR,49.888577,13.819363,33.587776,3.2868083,2.3831732,11.405782,0.8625638,-36.56493,13.645305,55.726406,17.225994,3.5736556,17.39096,1.0231798,1.7699529,0.3177108
317673950970669056,AGNX,LLR,27.748404,14.893933,38.06609,-0.49004412,2.0001035,11.051545,0.78422225,-3.8501825,14.011136,66.73245,27.429403,3.1436312,18.213055,1.2014645,2.6818967,0.1083444
317678349017180160,AGNXY,wAGN,25.203737,16.226315,35.121468,5.5094852,2.0364213,9.471002,0.8655918,230.66858,16.562,61.790436,74.026985,2.9742615,16.029491,1.902514,3.7851045,0.1397697
318640426741426176,UNCX,ELR,130.1292,19.478249,46.373714,10.066754,4.4703813,13.885613,1.0360547,130.49152,17.541718,86.07411,67.72899,8.321539,23.964327,1.866371,1.9182993,0.0421716
318641526253053952,UNCX,ELR,-33.944336,17.325447,25.906944,4.981235,1.9998025,6.8412247,0.87808126,70.63414,20.942047,43.066444,29.014212,3.1854327,11.162605,1.084833,6.426423,0.7555971
318646748933285888,AGNXY,sAGN,-20.808405,15.069256,38.09099,11.73202,2.8219383,13.739644,1.0299314,373.30072,14.350308,46.56849,145.9184,4.2166915,16.421772,1.7894033,1.6796433,0.0623421
318650047468169216,UNCX,ELR,47.50052,24.482052,46.52842,6.5068817,2.06443,9.841326,0.75170153,126.814964,18.72738,84.19241,49.562477,2.4607215,16.6539,0.75108165,11.122014,0.5444679
318652246491424768,AGNXY,sAGN,0.35647297,12.684988,24.297272,7.2221217,2.3227446,8.96966,0.8098545,242.03772,11.345029,32.83144,90.8669,3.3160841,12.330517,2.725526,1.2006363,0.0370866
318661317462353920,UNCX,ELR,-11.9650135,19.820343,31.363474,1.1971623,2.2108314,8.328343,0.79928946,105.16417,19.109205,51.483788,34.84452,3.2247095,12.995214,1.3315263,5.2445335,0.2550975
318672037700724736,UNCX,ELR,4.6764336,16.941645,29.730417,2.7495437,2.1229599,7.264614,0.6984753,84.69689,16.160534,51.22918,40.493618,3.0944307,11.627918,1.2632419,3.6756413,0.1681101
318680284037933056,UNCX,ELR,-3.6873114,5.36172,9.810384,-0.49200177,2.090996,7.6503525,0.73328394,23.34167,6.178624,15.226001,30.55589,3.123381,11.60788,1.3666813,-99999.0,-99999.0
318694577689094144,SFX,sAGN,21.724258,13.935751,33.348534,13.237473,2.8376389,11.867251,0.92679393,412.72806,15.744107,48.897125,162.16396,4.723727,17.003641,2.2707646,2.2840126,0.0556299
318697051590256640,NOEL,LLR,50.146843,10.9326515,20.55461,9.230564,4.178472,9.202026,0.84417367,-32.301468,8.481932,31.782604,18.48321,4.6401267,13.369589,0.63634014,0.4782612,0.042375
318699525491419136,UNCXY,sAGN,101.37072,12.856776,30.154528,63.29215,3.6852047,9.68748,1.3250352,935.8901,17.959625,34.632744,285.8645,9.152404,11.214017,4.5839553,1.072596,0.0643761
318705297927464960,AGNXY,sAGN,-73.47335,15.174566,40.25114,16.823664,1.6817794,11.729234,0.883281,512.38715,14.451047,41.90257,159.8091,2.9715853,12.117875,0.72832805,1.9389105,0.0862755
