,BPT,WHAN,Z_1,mass_stellar_percentile50,T_C_ISM_percentile16,T_C_ISM_percentile50,T_C_ISM_percentile84,T_W_BC_percentile16,T_W_BC_percentile50,T_W_BC_percentile84,SFR_0_1Gyr_percentile16,SFR_0_1Gyr_percentile50,SFR_0_1Gyr_percentile84,ager_percentile50,P100_flux,P100_fluxerr,SurfaceDensity,SurfaceDensityErr,SurfaceDensityFlag
0,SFX,wAGN,0.1473,10.94,16.588,18.463,20.913,35.788,47.713,56.413,-1.208,0.237,0.367,9.527,0.0,0.037524972,0.0,0.0,0.0
1,UNCX,LLR,0.0295,10.81,19.763,22.388,24.188,34.388,44.588,54.613,-2.168,-2.018,-1.668,9.812,0.0,0.09021481,2.0,1.4,1.0
2,UNCX,ELR,0.0549,10.77,20.638,22.213,23.888,33.838,40.788,47.713,0.432,0.517,0.587,9.462,-999.0,-999.0,1.0,1.0,1.0
3,UNCX,NER,0.1389,10.82,15.538,17.138,20.188,35.088,44.838,54.938,-1.808,-1.188,-0.898,9.522,0.0,0.021025218,0.0,0.0,0.0
4,NOEL,NER,0.1846,11.07,15.563,17.388,20.888,35.313,45.463,55.538,-0.803,-0.388,-0.103,9.572,-999.0,-999.0,-999.0,-999.0,-999.0
5,AGNXY,sAGN,0.1861,11.02,23.313,24.413,24.738,38.388,49.563,57.788,-0.003,0.002,0.502,9.527,-999.0,-999.0,-999.0,-999.0,-999.0
6,UNCX,ELR,0.1964,10.95,15.688,17.238,19.813,33.513,43.213,53.863,0.687,0.777,0.852,9.482,-999.0,-999.0,-999.0,-999.0,-999.0
7,SFX,ELR,0.1818,11.0,16.588,19.638,23.013,34.313,45.138,55.513,0.367,0.452,0.577,9.622,0.0,0.026240427,-999.0,-999.0,-999.0
8,AGNXY,sAGN,0.1396,10.45,15.363,15.713,16.988,39.688,51.763,58.763,0.647,0.647,0.647,9.627,0.0,0.020303087,2.0,1.4,0.0
9,UNCX,UNC,0.1377,10.83,19.088,22.163,24.238,36.813,46.563,55.313,-0.008,0.087,0.162,9.662,-999.0,-999.0,0.0,0.0,0.0
10,AGNXY,sAGN,0.2774,11.32,21.813,22.213,24.288,50.013,56.538,58.363,1.617,1.677,1.732,9.122,-999.0,-999.0,-999.0,-999.0,-999.0
11,UNCX,NER,0.2786,11.64,15.413,16.713,19.363,35.088,44.838,54.763,-0.553,-0.128,0.132,9.747,0.033298917,0.030587498,-999.0,-999.0,-999.0
12,AGNX,LLR,0.0921,10.95,16.363,18.688,21.613,34.563,45.188,55.813,-1.063,-0.558,-0.273,9.677,-999.0,-999.0,1.056,1.0,0.0
13,UNCX,wAGN,0.128,10.79,17.213,20.563,23.413,34.463,44.388,54.238,0.407,0.497,0.592,9.532,-999.0,-999.0,6.0,2.4,0.0
14,UNCX,NER,0.0912,10.7,16.788,18.938,21.713,34.188,46.238,55.913,0.162,0.222,0.312,9.532,-999.0,-999.0,0.0,0.0,1.0
15,AGNX,LLR,0.055,10.41,17.888,21.063,23.588,34.913,44.513,54.938,-1.728,-1.443,-1.238,9.667,0.052549303,0.021144198,0.0,0.0,0.0
16,AGNX,LLR,0.0552,10.82,21.988,23.388,24.513,35.563,45.713,55.963,-1.598,-1.128,-0.808,9.767,0.14465924,0.033302777,4.0,2.0,0.0
17,UNCXY,sAGN,0.0933,10.88,22.963,23.463,24.863,54.538,59.013,59.988,0.982,0.987,0.987,9.332,0.12084035,0.021123622,0.0,0.0,0.0
18,NOEL,NER,0.2851,11.19,16.713,19.988,23.288,35.113,46.188,55.613,0.837,0.902,0.977,9.412,0.026371509,0.021886643,-999.0,-999.0,-999.0
19,UNCXY,SF,0.2445,10.91,16.038,18.463,22.063,31.463,36.288,48.488,1.047,1.082,1.147,9.312,0.05467248,0.029059498,-999.0,-999.0,-999.0
20,UNCX,ELR,0.0883,10.47,18.938,21.238,23.238,33.788,43.938,54.638,0.057,0.152,0.237,9.437,0.06685156,0.01787378,1.071,1.0,0.0
21,AGNXY,wAGN,0.0854,10.66,15.938,17.613,19.638,35.113,47.738,56.738,0.017,0.072,0.132,9.552,0.047992554,0.019273764,2.133,1.4,0.0
22,AGNXY,sAGN,0.1384,10.66,22.513,23.738,24.713,52.688,57.388,59.688,0.712,0.787,0.862,9.342,-999.0,-999.0,2.0,1.4,0.0
23,AGNXY,sAGN,0.1382,10.54,23.488,24.113,24.938,53.538,57.263,57.488,1.257,1.302,1.312,8.807,-999.0,-999.0,2.0,1.4,0.0
24,SFX,UNC,0.0558,10.21,15.138,15.313,15.513,44.788,52.438,56.888,-0.128,-0.063,-0.028,9.492,0.0,0.03325888,0.0,0.0,0.0
25,AGNXY,sAGN,0.1784,10.93,19.263,20.888,22.413,50.613,55.913,59.113,1.157,1.202,1.252,9.232,0.087358736,0.022600902,0.0,0.0,0.0
26,SFX,sAGN,0.0428,10.89,16.288,17.538,19.213,43.238,51.338,56.563,0.357,0.417,0.437,9.532,-999.0,-999.0,0.0,0.0,1.0
27,UNCX,LLR,0.0574,10.54,15.363,16.588,18.888,32.363,40.338,50.888,-0.083,0.012,0.092,9.662,-999.0,-999.0,1.0,1.0,1.0
28,UNCX,ELR,0.1467,11.15,18.188,21.788,24.238,34.688,45.613,55.663,-0.263,-0.083,0.067,9.767,-999.0,-999.0,5.714,2.2,0.0
29,AGNX,LLR,0.1437,10.89,17.588,20.888,23.588,34.313,44.363,55.088,-0.703,-0.543,-0.323,9.597,0.03847842,0.01350632,-999.0,-999.0,-999.0
30,UNCXY,SF,0.1349,10.39,19.138,22.613,24.013,56.588,59.013,59.838,1.062,1.067,1.067,9.177,0.0,0.023552537,-999.0,-999.0,-999.0
31,UNCXY,sAGN,0.1274,10.57,21.913,23.738,24.488,34.413,46.988,57.763,-0.103,0.027,0.472,9.152,0.1045043,0.032074224,-999.0,-999.0,-999.0
32,NOEL,LLR,0.111,10.81,15.688,17.513,20.538,34.763,45.488,55.638,-0.893,-0.713,-0.573,9.782,0.0,0.027603738,-999.0,-999.0,-999.0
33,AGNX,LLR,0.1062,10.9,16.338,19.038,22.388,35.438,45.813,55.663,-1.863,-1.598,-1.333,9.837,0.0,0.034301914,-999.0,-999.0,-999.0
34,AGNXY,wAGN,0.1068,10.65,21.488,23.263,24.513,35.138,46.613,56.163,0.107,0.152,0.227,9.412,0.08829208,0.021797772,-999.0,-999.0,-999.0
35,UNCX,ELR,0.0829,10.89,15.088,15.413,16.288,35.963,46.663,55.038,-1.188,-0.998,-0.873,9.902,0.0,0.01879704,-999.0,-999.0,-999.0
36,UNCX,ELR,0.1567,10.83,15.363,16.413,18.338,34.713,44.738,55.188,-0.678,-0.313,-0.188,9.367,0.0,0.022641823,-999.0,-999.0,-999.0
37,AGNXY,sAGN,0.1212,10.71,17.088,19.538,22.438,35.263,46.313,56.138,-0.913,-0.238,0.027,9.532,0.03607222,0.021902312,-999.0,-999.0,-999.0
38,UNCX,ELR,0.0781,10.77,15.813,17.138,18.763,32.638,39.913,52.163,-0.128,-0.073,-0.023,9.707,0.021766076,0.069367096,-999.0,-999.0,-999.0
39,AGNXY,sAGN,0.1249,10.73,15.363,16.488,18.438,35.763,47.438,56.138,-0.488,-0.383,-0.273,9.697,0.0037207562,0.017598402,-999.0,-999.0,-999.0
40,UNCX,ELR,0.117,10.63,16.288,17.863,19.213,36.863,48.313,56.138,0.157,0.262,0.297,9.457,0.0,0.01685654,-999.0,-999.0,-999.0
41,UNCX,ELR,0.1558,11.07,15.163,15.513,16.438,35.788,47.463,55.638,0.307,0.397,0.507,9.652,0.039618522,0.015037632,-999.0,-999.0,-999.0
42,UNCX,ELR,0.1561,10.99,18.988,20.513,22.138,34.338,45.688,55.538,0.132,0.202,0.267,9.427,0.045202687,0.017975992,-999.0,-999.0,-999.0
43,AGNXY,sAGN,0.1716,11.11,16.463,19.238,22.263,51.188,56.538,58.963,1.307,1.312,1.312,9.627,0.059442364,0.01937342,-999.0,-999.0,-999.0
44,SFX,sAGN,0.1087,10.73,16.438,18.938,22.188,34.213,43.613,53.888,-0.248,-0.173,-0.083,9.647,0.0,0.026595488,-999.0,-999.0,-999.0
45,NOEL,LLR,0.1062,10.53,15.363,16.513,18.563,35.288,45.388,55.413,-1.348,-1.083,-0.983,9.717,0.0,0.015969314,-999.0,-999.0,-999.0
46,UNCXY,sAGN,0.223,10.66,16.138,18.463,22.263,51.113,55.863,58.938,0.942,0.942,0.947,9.197,0.0,0.02144002,-999.0,-999.0,-999.0
47,AGNXY,sAGN,0.1316,10.63,15.563,17.013,19.388,36.788,46.488,54.688,0.102,0.102,0.102,9.512,0.06479964,0.025272759,-999.0,-999.0,-999.0
48,UNCXY,SF,0.1815,10.54,21.638,23.413,24.513,44.763,52.688,58.838,1.067,1.077,1.347,9.327,0.09255699,0.024409594,-999.0,-999.0,-999.0
49,UNCX,LLR,0.075,10.35,15.688,17.588,20.963,34.888,45.413,55.563,-1.118,-1.038,-0.938,9.702,0.008980543,0.015239719,-999.0,-999.0,-999.0
50,SFX,sAGN,0.0751,10.08,20.513,22.663,24.288,42.488,52.763,58.138,-0.198,-0.073,-0.038,9.337,0.04431418,0.021202562,-999.0,-999.0,-999.0
51,AGNXY,sAGN,0.1364,10.75,22.638,22.638,24.488,58.888,59.538,59.538,0.757,0.757,0.757,9.412,0.22187597,0.018410051,-999.0,-999.0,-999.0
52,AGNX,LLR,0.186,10.73,15.338,16.338,18.463,35.238,45.663,55.413,-0.063,0.057,0.157,9.132,0.018841496,0.034265716,-999.0,-999.0,-999.0
53,UNCX,ELR,0.0928,10.84,15.363,16.113,17.038,37.838,49.338,57.388,0.142,0.227,0.237,9.562,0.07770013,0.02245946,-999.0,-999.0,-999.0
54,UNCX,NER,0.1256,10.63,16.163,18.863,22.413,35.313,46.363,55.713,-0.088,-0.018,0.022,9.642,0.024171075,0.023547648,-999.0,-999.0,-999.0
55,SFX,ELR,0.1259,10.9,17.438,21.663,24.088,35.563,46.613,56.063,-0.593,-0.173,-0.013,9.652,0.019479692,0.032664053,-999.0,-999.0,-999.0
56,UNCX,NER,0.1316,10.76,15.663,17.238,19.938,37.388,48.663,56.788,-0.038,0.077,0.152,9.527,0.0,0.01759261,-999.0,-999.0,-999.0
57,UNCXY,UNC,0.1636,10.97,15.763,17.738,20.663,34.738,45.388,55.838,-1.323,-0.713,-0.468,9.737,0.0,0.031313796,-999.0,-999.0,-999.0
58,AGNXY,sAGN,0.1092,10.46,15.438,16.463,18.388,36.963,47.488,56.538,-0.313,-0.158,-0.058,9.302,0.02795816,0.027854204,-999.0,-999.0,-999.0
59,UNCXY,sAGN,0.08,10.65,19.063,20.063,20.713,43.263,55.063,57.813,0.822,0.902,0.937,9.267,0.33144465,0.023427716,-999.0,-999.0,-999.0
60,UNCX,NER,0.0807,10.69,15.313,16.188,17.413,34.838,45.063,53.313,0.172,0.207,0.217,9.407,0.028983949,0.033500124,-999.0,-999.0,-999.0
61,SFX,sAGN,0.18,10.88,22.363,23.188,23.913,37.163,46.613,56.813,0.492,0.617,0.637,9.047,0.13708435,0.017776256,-999.0,-999.0,-999.0
62,UNCX,ELR,0.1368,11.15,17.763,19.513,21.213,34.263,43.513,53.438,0.532,0.557,0.567,9.577,0.13212271,0.0195769,-999.0,-999.0,-999.0
63,SFX,wAGN,0.0811,10.09,18.063,21.063,23.913,33.088,39.338,47.488,-0.193,-0.113,0.047,9.322,0.023729252,0.039507184,-999.0,-999.0,-999.0
64,SFX,UNC,0.136,11.01,15.113,15.263,15.463,38.513,52.213,57.388,0.527,0.572,0.612,9.562,0.0,0.033515077,-999.0,-999.0,-999.0
65,UNCXY,sAGN,0.1261,10.81,18.588,20.738,22.413,35.813,49.613,55.788,1.002,1.062,1.107,9.227,0.17871982,0.020385532,-999.0,-999.0,-999.0
66,UNCX,LLR,0.1053,10.63,15.563,17.038,19.463,35.138,45.288,55.663,-1.703,-1.393,-1.068,9.822,0.010273893,0.017704736,-999.0,-999.0,-999.0
67,SFX,UNC,0.1306,10.64,16.963,20.138,23.188,32.288,39.838,53.788,0.517,0.562,0.642,9.402,0.087542325,0.04626003,-999.0,-999.0,-999.0
68,UNCXY,wAGN,0.1199,10.89,18.613,20.888,23.088,33.938,43.863,54.163,0.627,0.667,0.722,9.367,0.1053979,0.037975904,-999.0,-999.0,-999.0
69,UNCXY,sAGN,0.0514,10.29,19.588,21.888,23.863,55.613,58.563,59.563,0.012,0.047,0.112,9.437,0.0999298,0.030651513,-999.0,-999.0,-999.0
70,UNCX,ELR,0.1353,10.99,15.238,15.888,17.113,36.988,47.688,56.263,-0.178,-0.048,-0.003,9.647,0.0016341092,0.019952713,-999.0,-999.0,-999.0
71,UNCX,ELR,0.0776,10.64,15.588,16.838,18.463,32.388,37.488,45.388,-0.053,0.017,0.057,9.547,0.066508725,0.01681597,-999.0,-999.0,-999.0
72,AGNXY,wAGN,0.0473,10.88,16.113,18.038,20.863,33.313,42.263,53.563,-0.833,-0.773,-0.718,9.812,0.080482945,0.023813916,-999.0,-999.0,-999.0
73,NOEL,NER,0.2651,11.45,22.388,23.988,24.788,35.563,44.813,54.763,-0.623,-0.173,0.082,9.622,0.06274276,0.014778268,-999.0,-999.0,-999.0
